Interval,EMA_alpha,EMA_beta,RSI_alpha,RSI_beta,EMA_posterior,RSI_posterior,EMA_interval_profit,RSI_interval_profit,EMA_cum_profit,RSI_cum_profit,EMA_posterior_return,RSI_posterior_return,EMA_ppd_var,RSI_ppd_var
11,170.85156473105098,194.67165495895784,178.86035671355341,186.4493351706849,0.4674164472395104,0.4896129522077718,0.0,0.0006261644753446545,-0.2210729755465625,-0.0775399282935437,-0.0018895126115090826,-0.0006461660691128638,0.00040341880341880344,0.00040333333333333334
12,204.2001976544529,223.89842998490806,199.604091478327,200.3634320760702,0.4769933479592355,0.49905074718192727,0.041218578974516557,0.06829637859388261,-0.17985439657204594,-0.009243549699661083,-0.0013322547894225633,-7.11042284589309e-05,0.000402962962962963,0.0004030769230769231
13,214.70190022943044,239.53508056107313,211.13233948073025,220.00174900768462,0.47266495091568084,0.4897138619239653,-0.05134948001187496,-0.08110068929211169,-0.2312038765839209,-0.09034423899177277,-0.001628196313971275,-0.0006546683984911066,0.0004028169014084507,0.0004028985507246377
14,229.71710340857072,263.38596091424284,231.37255257084047,243.67481584370844,0.465860222799558,0.487051540445402,-0.10129924899090381,-0.04727101470974532,-0.3325031255748247,-0.1376152537015181,-0.0021875205629922688,-0.0009174350246767873,0.00040263157894736843,0.0004026666666666667
15,267.7505633956308,294.59908656158393,253.95771907430398,257.9798537334858,0.4761282654234818,0.4960716551462301,0.06820334339718917,0.08280128613686148,-0.2642997821776355,-0.054813967564656604,-0.001545612761272723,-0.0003425872972791036,0.0004023391812865497,0.0004025
16,299.49687069287756,325.6682653643895,269.1253124444554,273.3842971065346,0.47906841475792517,0.4960747380441757,0.006771284944411383,-0.0023685000289727634,-0.25752849723322413,-0.05718246759362937,-0.0013554131433327597,-0.0003363674564331137,0.00040210526315789477,0.0004023529411764706
17,311.24739033210574,340.7549213848871,290.4590380703189,291.04509226553114,0.47737160549701446,0.49949608767621845,-0.033361363812694285,0.03814726849147695,-0.2908898610459184,-0.01903519910215242,-0.001469140712353124,-0.0001051668458682451,0.00040202020202020206,0.00040220994475138124
18,358.7664060957881,378.01326738172116,318.9968039218525,302.69525056426113,0.48693852315775066,0.5131106335041278,0.18366385068953398,0.22625292877887235,-0.10722601035638443,0.20721772967671992,-0.0004918624328274527,0.001084909579459267,0.00040183486238532114,0.00040209424083769633
19,401.6811407715544,406.29114979302614,341.0042156779512,316.14351934309934,0.4971471738107191,0.5189156068034348,0.15154901530513618,0.08559142977260445,0.04432300494875174,0.2928091594493244,0.00018623111323004768,0.0014495502943035865,0.0004016806722689076,0.000401980198019802
20,426.3503540870997,429.55083531949145,371.18522934294197,324.9792043332041,0.4981303442079507,0.5331861430824207,0.07700319878639109,0.28835839717198486,0.12132620373514283,0.5811675566213093,0.00048530481494056966,0.0027674645553395685,0.0004016,0.0004019047619047619
21,461.6910439178679,463.01078116007886,384.8115240220342,337.3466256525601,0.499286398487372,0.5328632297446632,0.0188074399018072,0.012588733597361715,0.14013364363695002,0.5937562902186709,0.0005228867299886181,0.002723652707425097,0.0004014925373134329,0.00040183486238532114
